ACRNM	NOUM
ADJ	ADJ
ADV	ADV
ALFP	NOUN
ALFS	NOUN
ART	DET
BACKSLASH	PUNCT
CARD	NUM
CC	CONJ
CCAD	CONJ
CCNEG	CONJ
CM	PUNCT
CODE	NOUN
COLON	PUNCT
CQUE	PRON
CSUBF	ADV
CSUBI	ADP
CSUBX	SCONJ
DASH	PUCNT
DM	PRON
DOTS	PUNCT
FO	NOUN
FS	SYM
INT	PRON
ITJN	INTJ
LP	SYM
NC	NOUN
NEG	ADV
NMEA	NOUN
NMON	NOUN
NP	PROPN
ORD	ADJ
PAL	ADP
PDEL	ADP
PE	X
PERCT	SYM
PNC	X
PPC	PRON
PPO	PRON
PPX	PRON
PREP	ADP
PREP/DEL	ADV
QT	SYM
QU	DET
REL	PRON
RP	SYM
SE	PART
SEMICOLON	PUNCT
SLASH	SYM
SYM	SYM
UMMX	NOUN
VCLIger	VERB
VCLIinf	VERB
VCLIfin	VERB
VEadj	VERB
VEfin	VERB
VEger	VERB
VEinf	VERB
VHadj	VERB
VHfin	VERB
VHger	VERB
VHinf	VERB
VLadj	VERB
VLfin	VERB
VLger	VERB
VLinf	VERB
VMadj	VERB
VMfin	VERB
VMger	VERB
VMinf	VERB
VSadj	VERB
VSfin	VERB
VSger	VERB
VSinf	VERB
