010.000.0101.00	inhibe	 la síntesis de prostaglandinas
010.000.0103.00	inhibe	 la síntesis de prostaglandinas
010.000.5940.00	tieneGeneralidad	que
010.000.5940.01	tieneGeneralidad	que
010.000.5940.02	tieneGeneralidad	que
010.000.5940.03	tieneGeneralidad	que
010.000.5941.00	tieneGeneralidad	que
010.000.5941.01	tieneGeneralidad	que
010.000.5941.02	tieneGeneralidad	que
010.000.5941.03	tieneGeneralidad	que
010.000.5941.04	tieneGeneralidad	que
010.000.5942.00	tieneGeneralidad	que
010.000.5942.01	tieneGeneralidad	que
010.000.5942.02	tieneGeneralidad	que
010.000.5942.03	tieneGeneralidad	que
010.000.5942.04	tieneGeneralidad	que
010.000.5943.00	tieneGeneralidad	que
010.000.5944.00	tieneGeneralidad	que
010.000.5940.00	lograMediante	 este mecanismo acción
010.000.5940.01	lograMediante	 este mecanismo acción
010.000.5940.02	lograMediante	 este mecanismo acción
010.000.5940.03	lograMediante	 este mecanismo acción
010.000.5941.00	lograMediante	 este mecanismo acción
010.000.5941.01	lograMediante	 este mecanismo acción
010.000.5941.02	lograMediante	 este mecanismo acción
010.000.5941.03	lograMediante	 este mecanismo acción
010.000.5941.04	lograMediante	 este mecanismo acción
010.000.5942.00	lograMediante	 este mecanismo acción
010.000.5942.01	lograMediante	 este mecanismo acción
010.000.5942.02	lograMediante	 este mecanismo acción
010.000.5942.03	lograMediante	 este mecanismo acción
010.000.5942.04	lograMediante	 este mecanismo acción
010.000.5943.00	lograMediante	 este mecanismo acción
010.000.5944.00	lograMediante	 este mecanismo acción
010.000.0108.00	inhibe	 la síntesis de prostaglandinas
010.000.0109.00	inhibe	 la síntesis de prostaglandinas
010.000.0104.00	inhibe	 la síntesis de prostaglandinas
010.000.0106.00	inhibe	 la síntesis de prostaglandinas
010.000.0105.00	inhibe	 la síntesis de prostaglandinas
010.000.0514.00	inhibe	 la síntesis de prostaglandinas
010.000.0514.01	inhibe	 la síntesis de prostaglandinas
010.000.0514.02	inhibe	 la síntesis de prostaglandinas
040.000.2100.00 	tieneGeneralidad	.
040.000.2100.01  	tieneGeneralidad	.
040.000.4026.00	tieneGeneralidad	.
040.000.2098.00 	tieneGeneralidad	.
040.000.2097.00 	tieneGeneralidad	.
040.000.6038.00	tieneGeneralidad	.
040.000.6039.00 	tieneGeneralidad	.
010.000.4031.00	tieneGeneralidad	que
010.000.4031.00	ejerce	 una acción desensibilizadora selectiva
010.000.4028.00	tieneGeneralidad	  ,
010.000.4028.00	tieneGeneralidad	y
010.000.0247.00	tieneGeneralidad	2
010.000.0247.01	tieneGeneralidad	2
010.000.0247.02	tieneGeneralidad	2
010.000.0247.00	tieneGeneralidad	y
010.000.0247.01	tieneGeneralidad	y
010.000.0247.02	tieneGeneralidad	y
010.000.0247.00	tieneGeneralidad	  , que
010.000.0247.01	tieneGeneralidad	  , que
010.000.0247.02	tieneGeneralidad	  , que
010.000.0247.00	proporciona	 sedación
010.000.0247.01	proporciona	 sedación
010.000.0247.02	proporciona	 sedación
040.000.0107.00	tieneGeneralidad	que
040.000.0107.00	disminuye	percepción
010.000.4036.00	tieneGeneralidad	que
010.000.4036.00	inhibe	 la síntesis de prostaglandinas
040.000.4027.00	tieneGeneralidad	que
040.000.2113.00	tieneGeneralidad	que
010.000.3422.00	inhibe	 la enzima ciclooxigenasa
040.000.5910.00	tieneGeneralidad	  , con
040.000.5910.00	tieneGeneralidad	ligeramente
040.000.5910.00	tieneGeneralidad	  , y menor efecto
040.000.5910.00	tieneGeneralidad	euforizante
040.000.5910.00	presenta	 afinidad
040.000.2099.00	tieneGeneralidad	µ
040.000.2102.00	tieneGeneralidad	µ
040.000.2103.00	tieneGeneralidad	µ
040.000.2104.00	tieneGeneralidad	µ
040.000.2104.01	tieneGeneralidad	µ
040.000.2104.02	tieneGeneralidad	µ
040.000.2105.00	tieneGeneralidad	µ
040.000.2105.01	tieneGeneralidad	µ
040.000.2105.02	tieneGeneralidad	µ
040.000.4029.00	tieneGeneralidad	µ
040.000.2099.00	tieneGeneralidad	.
040.000.2102.00	tieneGeneralidad	.
040.000.2103.00	tieneGeneralidad	.
040.000.2104.00	tieneGeneralidad	.
040.000.2104.01	tieneGeneralidad	.
040.000.2104.02	tieneGeneralidad	.
040.000.2105.00	tieneGeneralidad	.
040.000.2105.01	tieneGeneralidad	.
040.000.2105.02	tieneGeneralidad	.
040.000.4029.00	tieneGeneralidad	.
040.000.2099.00	tieneGeneralidad	se
040.000.2102.00	tieneGeneralidad	se
040.000.2103.00	tieneGeneralidad	se
040.000.2104.00	tieneGeneralidad	se
040.000.2104.01	tieneGeneralidad	se
040.000.2104.02	tieneGeneralidad	se
040.000.2105.00	tieneGeneralidad	se
040.000.2105.01	tieneGeneralidad	se
040.000.2105.02	tieneGeneralidad	se
040.000.4029.00	tieneGeneralidad	se
040.000.2099.00	relacionaCon	 la activación de los receptores
040.000.2102.00	relacionaCon	 la activación de los receptores
040.000.2103.00	relacionaCon	 la activación de los receptores
040.000.2104.00	relacionaCon	 la activación de los receptores
040.000.2104.01	relacionaCon	 la activación de los receptores
040.000.2104.02	relacionaCon	 la activación de los receptores
040.000.2105.00	relacionaCon	 la activación de los receptores
040.000.2105.01	relacionaCon	 la activación de los receptores
040.000.2105.02	relacionaCon	 la activación de los receptores
040.000.4029.00	relacionaCon	 la activación de los receptores
040.000.0132.00	tieneGeneralidad	que
040.000.0132.01	tieneGeneralidad	que
040.000.0132.00	guarda	relación
040.000.0132.01	guarda	relación
040.000.4032.00	tieneGeneralidad	  , con principalmente
040.000.4032.01	tieneGeneralidad	  , con principalmente
040.000.4033.00	tieneGeneralidad	  , con principalmente
040.000.4033.01	tieneGeneralidad	  , con principalmente
040.000.6040.00	tieneGeneralidad	  , con principalmente
040.000.4032.00	tieneGeneralidad	analgésico
040.000.4032.01	tieneGeneralidad	analgésico
040.000.4033.00	tieneGeneralidad	analgésico
040.000.4033.01	tieneGeneralidad	analgésico
040.000.6040.00	tieneGeneralidad	analgésico
040.000.4032.00	tieneGeneralidad	y
040.000.4032.01	tieneGeneralidad	y
040.000.4033.00	tieneGeneralidad	y
040.000.4033.01	tieneGeneralidad	y
040.000.6040.00	tieneGeneralidad	y
010.000.5720.00	tieneGeneralidad	las
010.000.5720.01	tieneGeneralidad	las
010.000.5720.02	tieneGeneralidad	las
010.000.5721.00	tieneGeneralidad	las
010.000.5721.01	tieneGeneralidad	las
010.000.5721.02	tieneGeneralidad	las
010.000.5720.00	tieneGeneralidad	y
010.000.5720.01	tieneGeneralidad	y
010.000.5720.02	tieneGeneralidad	y
010.000.5721.00	tieneGeneralidad	y
010.000.5721.01	tieneGeneralidad	y
010.000.5721.02	tieneGeneralidad	y
040.000.5915.00	tieneGeneralidad	es
040.000.5916.00	tieneGeneralidad	es
040.000.5915.00	tieneGeneralidad	de
040.000.5916.00	tieneGeneralidad	de
040.000.5915.00	tieneGeneralidad	combina
040.000.5916.00	tieneGeneralidad	combina
040.000.5915.00	combina	 actividad opioide
040.000.5916.00	combina	 actividad opioide
040.000.2106.00	tieneGeneralidad	que
040.000.6140.00	tieneGeneralidad	que
040.000.6140.01	tieneGeneralidad	que
040.000.6141.00	tieneGeneralidad	que
040.000.6141.01	tieneGeneralidad	que
040.000.2106.00	actúaDe	 manera central n02a x02
040.000.6140.00	actúaDe	 manera central n02a x02
040.000.6140.01	actúaDe	 manera central n02a x02
040.000.6141.00	actúaDe	 manera central n02a x02
040.000.6141.01	actúaDe	 manera central n02a x02
040.000.2096.00	tieneGeneralidad	.
010.000.0204.00	tieneGeneralidad	que
010.000.0204.00	tieneGeneralidad	  ,
010.000.0204.00	tieneGeneralidad	.
010.000.0261.00	bloquea	 la conducción
010.000.0261.00	bloquea	nerviosa
010.000.0265.00	bloquea	 la conducción
010.000.0265.00	bloquea	nerviosa
010.000.0271.00	bloquea	 la conducción
010.000.4055.00	bloquea	 la conducción
010.000.0271.00	bloquea	nerviosa
010.000.4055.00	bloquea	nerviosa
010.000.4061.00	tieneGeneralidad	  , que
010.000.0234.00	produce	pérdida
040.000.0202.00	tieneGeneralidad	que
040.000.0202.00	produce	 diversos grados de depresión
040.000.2107.00	tieneGeneralidad	  alfa y beta y
040.000.2107.00	tieneGeneralidad	de
040.000.2107.00	tieneGeneralidad	desde
040.000.2107.00	tieneGeneralidad	Sitios de
040.000.2107.00	tieneGeneralidad	 almacenamiento
040.000.0243.00	tieneGeneralidad	que
040.000.0243.00	disminuye	 la actividad del sistema reticular ascendente
040.000.0242.00	tieneGeneralidad	µ
040.000.0242.00	tieneGeneralidad	.
040.000.0242.00	produce	estado de
040.000.0242.00	produce	 analgesia
040.000.0242.00	produce	profunda
040.000.4054.00	tieneGeneralidad	.
040.000.0206.00	tieneGeneralidad	que
040.000.0206.01	tieneGeneralidad	que
040.000.0206.00	produce	grados
040.000.0206.01	produce	grados
010.000.0232.00	produce	 pérdida rápida de la conciencia
040.000.2108.00	tieneGeneralidad	que
040.000.4057.00	tieneGeneralidad	que
040.000.2109.00	tieneGeneralidad	que
010.000.0302.00	tieneGeneralidad	.
010.000.0302.00	careceDe	actividad
010.000.0291.00	inhibe	 la hidrólisis de la acetilcolina
010.000.2110.00	inhibe	 la hidrólisis de la acetilcolina
010.000.4058.00	tieneGeneralidad	  , que
010.000.4058.01	tieneGeneralidad	  , que
010.000.4058.00	actúaSobre	canales
010.000.4058.01	actúaSobre	canales
010.000.0246.00 	tieneGeneralidad	sistema nervioso central
010.000.0244.00	tieneGeneralidad	sistema nervioso central
010.000.0246.00 	tieneGeneralidad	semejante
010.000.0244.00	tieneGeneralidad	semejante
010.000.0246.00 	tieneGeneralidad	y
010.000.0244.00	tieneGeneralidad	y
010.000.0246.00 	tieneGeneralidad	.
010.000.0244.00	tieneGeneralidad	.
040.000.0248.00	tieneGeneralidad	de
040.000.0248.00	tieneGeneralidad	  con
040.000.0248.00	tieneGeneralidad	y
040.000.0248.00	tieneGeneralidad	.
010.000.0269.00	tieneGeneralidad	  ,
010.000.0270.00	tieneGeneralidad	  ,
010.000.0269.00	tieneGeneralidad	.
010.000.0270.00	tieneGeneralidad	.
010.000.0269.00	tiene	 efecto tanto analgésico
010.000.0270.00	tiene	 efecto tanto analgésico
010.000.0252.00	tieneGeneralidad	neuromuscular
010.000.0252.00	tieneGeneralidad	.
040.000.0221.00	tieneGeneralidad	que
040.000.0221.00	incrementa	 la acción inhibitoria del gaba
010.000.0254.00	tieneGeneralidad	.
010.000.2111.00	tieneGeneralidad	de
010.000.2111.01	tieneGeneralidad	de
010.000.2111.00	inhibe	entrada
010.000.2111.01	inhibe	entrada
010.000.0574.00	inhibeA	enzima convertidora de la angiotensina
010.000.0561.00	bloquea	reabsorción
010.000.0502.00	refuerza	 la contracción del miocardio
010.000.0503.00	refuerza	 la contracción del miocardio
010.000.0504.00	refuerza	 la contracción del miocardio
010.000.2501.00	inhibeA	enzima convertidora de la angiotensina
010.000.0611.00	estimulaA	 los receptores adrenérgicos
010.000.2114.00	tieneGeneralidad	de
010.000.2114.00	tieneGeneralidad	vascular en
010.000.2114.00	tieneGeneralidad	Vascular en
010.000.2114.00	tieneGeneralidad	 comparación con la selectividad miocárdica
010.000.0570.00	relaja	 el músculo liso arteriolas
010.000.2116.00	relaja	 el músculo liso arteriolas
010.000.4201.00	relaja	 el músculo liso arteriolas
010.000.0592.00	tieneGeneralidad	que
010.000.0593.00	tieneGeneralidad	que
010.000.0592.00	disminuye	 el requerimiento
010.000.0593.00	disminuye	 el requerimiento
010.000.0572.00	tieneGeneralidad	  , que
010.000.0572.00	bloqueaAl	 receptor
010.000.0572.00	bloqueaAl	beta
010.000.0597.00	tieneGeneralidad	de
010.000.0599.00	tieneGeneralidad	de
010.000.0597.00	tieneGeneralidad	cardiaco y
010.000.0599.00	tieneGeneralidad	cardiaco y
010.000.0597.00	tieneGeneralidad	Cardiaco y
010.000.0599.00	tieneGeneralidad	Cardiaco y
010.000.0597.00	tieneGeneralidad	 liso
010.000.0599.00	tieneGeneralidad	 liso
010.000.4117.00	reduce	 la viscosidad
010.000.0523.00	tieneGeneralidad	esencial
010.000.0523.00	tieneGeneralidad	cardiaca y
010.000.0523.00	reduce	 la asociación digital
010.000.0591.00	tieneGeneralidad	que
010.000.0591.00	disminuye	 el requerimiento
010.000.6049.00	tieneGeneralidad	tiene
010.000.6050.00	tieneGeneralidad	tiene
010.000.6049.00	tiene	 efecto antiagregante plaquetario
010.000.6050.00	tiene	 efecto antiagregante plaquetario
010.000.5099.00	tieneGeneralidad	con
010.000.5099.00	tieneGeneralidad	que
010.000.5099.00	provoca	 una depresión
010.000.5099.00	provoca	profunda en
010.000.5099.00	provoca	conducción
010.000.5631.00	tieneGeneralidad	es
010.000.5631.01	tieneGeneralidad	es
010.000.6051.00	tieneGeneralidad	es
010.000.5631.00	tieneGeneralidad	)
010.000.5631.01	tieneGeneralidad	)
010.000.6051.00	tieneGeneralidad	)
010.000.5631.00	tieneGeneralidad	más
010.000.5631.01	tieneGeneralidad	más
010.000.6051.00	tieneGeneralidad	más
010.000.5631.00	tieneGeneralidad	  , al
010.000.5631.01	tieneGeneralidad	  , al
010.000.6051.00	tieneGeneralidad	  , al
010.000.5631.00	tieneGeneralidad	-
010.000.5631.01	tieneGeneralidad	-
010.000.6051.00	tieneGeneralidad	-
010.000.5631.00	tieneGeneralidad	e
010.000.5631.01	tieneGeneralidad	e
010.000.6051.00	tieneGeneralidad	e
010.000.5631.00	inhibe	 su agregación
010.000.5631.01	inhibe	 su agregación
010.000.6051.00	inhibe	 su agregación
010.000.5107.00 	tieneGeneralidad	  ,
010.000.5107.00 	tieneGeneralidad	idéntico
010.000.5107.00 	tieneGeneralidad	  , por
010.000.5107.00 	tieneGeneralidad	  , con
